time,open,high,low,close,volume,high_time,low_time,first_index,first_time,open_bid_slippage,open_ask_slippage
2022-01-24 08:00:00+00:00,1.1323949999999998,1.1336149999999998,1.13014,1.13041,0,2022-01-24 09:32:44+00:00,2022-01-24 11:57:58+00:00,11294845.0,2022-01-24 08:00:00+00:00,1.13238,1.13241
2022-01-24 12:00:00+00:00,1.13043,1.1323,1.129055,1.130925,0,2022-01-24 15:44:34+00:00,2022-01-24 14:42:04+00:00,11295380.0,2022-01-24 12:00:00+00:00,1.13043,1.1304400000000001
2022-01-24 16:00:00+00:00,1.130925,1.133485,1.13058,1.13191,0,2022-01-24 18:55:29+00:00,2022-01-24 16:05:18+00:00,11295861.0,2022-01-24 16:01:23+00:00,1.13092,1.13093
2022-01-24 20:00:00+00:00,1.13191,1.133115,1.131845,1.13222,0,2022-01-24 22:13:57+00:00,2022-01-24 21:00:04+00:00,11295947.0,2022-01-24 20:04:55+00:00,1.1319,1.13192
2022-01-25 00:00:00+00:00,1.1323750000000001,1.1324100000000001,1.1309,1.131315,0,2022-01-25 00:00:08+00:00,2022-01-25 03:15:11+00:00,11297060.0,2022-01-25 00:00:00+00:00,1.13239,1.1323699999999999
2022-01-25 04:00:00+00:00,1.131315,1.131615,1.130155,1.130185,0,2022-01-25 04:29:23+00:00,2022-01-25 07:59:35+00:00,11297400.0,2022-01-25 04:00:55+00:00,1.13131,1.13132
2022-01-25 08:00:00+00:00,1.130215,1.1315499999999998,1.1268449999999999,1.1271900000000001,0,2022-01-25 08:22:16+00:00,2022-01-25 11:53:33+00:00,11297568.0,2022-01-25 08:00:00+00:00,1.13023,1.13022
2022-01-25 12:00:00+00:00,1.1271900000000001,1.12804,1.12633,1.12732,0,2022-01-25 14:48:27+00:00,2022-01-25 14:32:19+00:00,11298299.0,2022-01-25 12:00:01+00:00,1.1272199999999999,1.1272199999999999
2022-01-25 16:00:00+00:00,1.12732,1.13037,1.127365,1.13037,0,2022-01-25 19:57:46+00:00,2022-01-25 16:00:45+00:00,11298505.0,2022-01-25 16:00:39+00:00,1.12732,1.12732
2022-01-25 20:00:00+00:00,1.13037,1.13066,1.12944,1.13049,0,2022-01-25 22:26:43+00:00,2022-01-25 22:06:23+00:00,11298539.0,2022-01-25 20:13:18+00:00,1.13037,1.13037
2022-01-26 00:00:00+00:00,1.1303100000000001,1.13107,1.1301299999999999,1.1305999999999998,0,2022-01-26 02:44:17+00:00,2022-01-26 00:12:50+00:00,11299640.0,2022-01-26 00:00:00+00:00,1.13036,1.13031
2022-01-26 04:00:00+00:00,1.1305999999999998,1.1305450000000001,1.12892,1.1290900000000001,0,2022-01-26 04:00:03+00:00,2022-01-26 07:30:15+00:00,11299867.0,2022-01-26 04:00:03+00:00,1.13059,1.13061
2022-01-26 08:00:00+00:00,1.1291250000000002,1.12969,1.12754,1.1276000000000002,0,2022-01-26 08:37:46+00:00,2022-01-26 11:58:10+00:00,11300103.0,2022-01-26 08:00:00+00:00,1.12911,1.12914
2022-01-26 12:00:00+00:00,1.1276000000000002,1.12959,1.12717,1.128075,0,2022-01-26 14:28:16+00:00,2022-01-26 13:30:56+00:00,11300487.0,2022-01-26 12:11:43+00:00,1.12759,1.12761
2022-01-26 16:00:00+00:00,1.128075,1.13007,1.12472,1.1248749999999998,0,2022-01-26 19:00:16+00:00,2022-01-26 19:57:38+00:00,11300623.0,2022-01-26 16:01:56+00:00,1.12807,1.12808
2022-01-26 20:00:00+00:00,1.1248749999999998,1.125365,1.12356,1.1240999999999999,0,2022-01-26 20:02:08+00:00,2022-01-26 21:14:45+00:00,11301699.0,2022-01-26 20:00:56+00:00,1.12486,1.12489
